FilePath,RelativePath,Extension,SizeBytes,LineCount,CharCount,CreatedUtc,ModifiedUtc,ReadError,Kind,Namespaces,DeclaredTypes,Routes,RequiresAuth,AzureDevOpsUrl
"Data/Migrations/00000000000000_CreateIdentitySchema.Designer.cs","Data/Migrations/00000000000000_CreateIdentitySchema.Designer.cs",".cs",12741,346,12741,2026-02-12T22:02:26.4094235Z,2026-02-12T22:02:26.4104230Z,"","CSharpSource","BlazorApp1.Migrations","CreateIdentitySchema","",,""
"Data/Migrations/ApplicationDbContextModelSnapshot.cs","Data/Migrations/ApplicationDbContextModelSnapshot.cs",".cs",12631,343,12631,2026-02-12T22:02:26.4104230Z,2026-02-12T22:02:26.4114227Z,"","CSharpSource","BlazorApp1.Migrations","ApplicationDbContextModelSnapshot","",,""
"Data/Migrations/00000000000000_CreateIdentitySchema.cs","Data/Migrations/00000000000000_CreateIdentitySchema.cs",".cs",11436,235,11433,2026-02-12T22:02:26.4104230Z,2026-02-12T22:02:26.4104230Z,"","CSharpSource","BlazorApp1.Migrations","CreateIdentitySchema","",,""
"Components/Account/IdentityComponentsEndpointRouteBuilderExtensions.cs","Components/Account/IdentityComponentsEndpointRouteBuilderExtensions.cs",".cs",7490,142,7490,2026-02-12T22:02:26.3739136Z,2026-02-12T22:02:26.3739136Z,"","CSharpSource","Microsoft.AspNetCore.Routing","IdentityComponentsEndpointRouteBuilderExtensions","",,""
"Program.cs","Program.cs",".cs",2949,71,2949,2026-02-12T22:02:26.4114227Z,2026-02-12T22:02:26.4114227Z,"","CSharpSource","BlazorApp1","Program","",,""
"Components/Account/IdentityRedirectManager.cs","Components/Account/IdentityRedirectManager.cs",".cs",2136,53,2136,2026-02-12T22:02:26.3749187Z,2026-02-12T22:02:26.3759205Z,"","CSharpSource","BlazorApp1.Components.Account","IdentityRedirectManager","",,""
"Components/Account/IdentityRevalidatingAuthenticationStateProvider.cs","Components/Account/IdentityRevalidatingAuthenticationStateProvider.cs",".cs",2061,43,2061,2026-02-12T22:02:26.3759205Z,2026-02-12T22:02:26.3759205Z,"","CSharpSource","BlazorApp1.Components.Account","IdentityRevalidatingAuthenticationStateProvider","",,""
"Components/Account/IdentityNoOpEmailSender.cs","Components/Account/IdentityNoOpEmailSender.cs",".cs",1251,21,1251,2026-02-12T22:02:26.3749187Z,2026-02-12T22:02:26.3749187Z,"","CSharpSource","BlazorApp1.Components.Account","IdentityNoOpEmailSender","",,""
"Data/ApplicationUser.cs","Data/ApplicationUser.cs",".cs",235,10,235,2026-02-12T22:02:26.4094235Z,2026-02-12T22:02:26.4094235Z,"","CSharpSource","BlazorApp1.Data","ApplicationUser","",,""
"Data/ApplicationDbContext.cs","Data/ApplicationDbContext.cs",".cs",278,9,278,2026-02-12T22:02:26.4084224Z,2026-02-12T22:02:26.4094235Z,"","CSharpSource","BlazorApp1.Data","ApplicationDbContext","",,""
"Components/Account/PasskeyInputModel.cs","Components/Account/PasskeyInputModel.cs",".cs",194,8,194,2026-02-12T22:02:26.3929171Z,2026-02-12T22:02:26.3929171Z,"","CSharpSource","BlazorApp1.Components.Account","PasskeyInputModel","",,""
"Components/Account/PasskeyOperation.cs","Components/Account/PasskeyOperation.cs",".cs",138,8,138,2026-02-12T22:02:26.3939160Z,2026-02-12T22:02:26.3939160Z,"","CSharpSource","BlazorApp1.Components.Account","PasskeyOperation","",,""
