FilePath,RelativePath,Extension,SizeBytes,LineCount,CharCount,CreatedUtc,ModifiedUtc,ReadError,Kind,Namespaces,DeclaredTypes,Routes,RequiresAuth,AzureDevOpsUrl
"appsettings.Development.json","appsettings.Development.json",".json",127,8,127,2025-12-29T23:38:24.3636411Z,2025-12-29T23:38:24.3636411Z,"","Config","","","",,""
"appsettings.json","appsettings.json",".json",360,12,360,2025-12-29T23:38:24.3666402Z,2025-12-29T23:38:24.3676437Z,"","Config","","","",,""
"BlazorApp1.csproj","BlazorApp1.csproj",".csproj",824,18,824,2025-12-29T23:38:24.3701663Z,2025-12-29T23:38:24.4012049Z,"","ProjectFile","","","",,""
"Program.cs","Program.cs",".cs",2949,71,2949,2025-12-29T23:38:24.4073606Z,2025-12-29T23:38:24.9289614Z,"","CSharpSource","BlazorApp1","Program","",,""
"Components/App.razor","Components/App.razor",".razor",1064,32,1061,2025-12-29T23:38:24.4144490Z,2025-12-29T23:38:24.4174497Z,"","RazorComponent","","","",false,""
"Components/Routes.razor","Components/Routes.razor",".razor",479,11,476,2025-12-29T23:38:24.4184500Z,2025-12-29T23:38:24.4194495Z,"","RazorComponent","","","",false,""
"Components/_Imports.razor","Components/_Imports.razor",".razor",483,12,480,2025-12-29T23:38:24.4234480Z,2025-12-29T23:38:24.4244510Z,"","RazorComponent","","","",false,""
"Components/Account/IdentityComponentsEndpointRouteBuilderExtensions.cs","Components/Account/IdentityComponentsEndpointRouteBuilderExtensions.cs",".cs",7490,142,7490,2025-12-29T23:38:24.4264492Z,2025-12-29T23:38:24.9624734Z,"","CSharpSource","Microsoft.AspNetCore.Routing","IdentityComponentsEndpointRouteBuilderExtensions","",,""
"Components/Account/IdentityNoOpEmailSender.cs","Components/Account/IdentityNoOpEmailSender.cs",".cs",1251,21,1251,2025-12-29T23:38:24.4294502Z,2025-12-29T23:38:24.8569460Z,"","CSharpSource","BlazorApp1.Components.Account","IdentityNoOpEmailSender","",,""
"Components/Account/IdentityRedirectManager.cs","Components/Account/IdentityRedirectManager.cs",".cs",2136,53,2136,2025-12-29T23:38:24.4313542Z,2025-12-29T23:38:24.9149626Z,"","CSharpSource","BlazorApp1.Components.Account","IdentityRedirectManager","",,""
"Components/Account/IdentityRevalidatingAuthenticationStateProvider.cs","Components/Account/IdentityRevalidatingAuthenticationStateProvider.cs",".cs",2061,43,2061,2025-12-29T23:38:24.4367055Z,2025-12-29T23:38:24.9819800Z,"","CSharpSource","BlazorApp1.Components.Account","IdentityRevalidatingAuthenticationStateProvider","",,""
"Components/Account/PasskeyInputModel.cs","Components/Account/PasskeyInputModel.cs",".cs",194,8,194,2025-12-29T23:38:24.4387053Z,2025-12-29T23:38:24.9199634Z,"","CSharpSource","BlazorApp1.Components.Account","PasskeyInputModel","",,""
"Components/Account/PasskeyOperation.cs","Components/Account/PasskeyOperation.cs",".cs",138,8,138,2025-12-29T23:38:24.4427051Z,2025-12-29T23:38:24.9899845Z,"","CSharpSource","BlazorApp1.Components.Account","PasskeyOperation","",,""
"Components/Account/Pages/AccessDenied.razor","Components/Account/Pages/AccessDenied.razor",".razor",218,8,215,2025-12-29T23:38:24.4462124Z,2025-12-29T23:38:24.4462124Z,"","RazorPage","","","/Account/AccessDenied",false,""
"Components/Account/Pages/ConfirmEmail.razor","Components/Account/Pages/ConfirmEmail.razor",".razor",1442,49,1439,2025-12-29T23:38:24.4522117Z,2025-12-29T23:38:24.4532127Z,"","RazorPage","","","/Account/ConfirmEmail",false,""
"Components/Account/Pages/ConfirmEmailChange.razor","Components/Account/Pages/ConfirmEmailChange.razor",".razor",2089,69,2086,2025-12-29T23:38:24.4562120Z,2025-12-29T23:38:24.4562120Z,"","RazorPage","","","/Account/ConfirmEmailChange",false,""
"Components/Account/Pages/ExternalLogin.razor","Components/Account/Pages/ExternalLogin.razor",".razor",8027,217,8024,2025-12-29T23:38:24.4612151Z,2025-12-29T23:38:24.4612151Z,"","RazorPage","","","/Account/ExternalLogin",false,""
"Components/Account/Pages/ForgotPassword.razor","Components/Account/Pages/ForgotPassword.razor",".razor",2834,74,2831,2025-12-29T23:38:24.4652154Z,2025-12-29T23:38:24.4652154Z,"","RazorPage","","","/Account/ForgotPassword",false,""
