Rank,Rule,Severity,Confidence,Sites,Pages,Instances,WCAG,Message
1,"aria-allowed-attr","critical","high",42,492,492,"","Elements must only use supported ARIA attributes"
2,"aria-valid-attr","critical","high",2,2,7,"","ARIA attributes must conform to valid names"
3,"aria-valid-attr-value","critical","high",1,1,1,"","ARIA attributes must conform to valid values"
4,"color-contrast","serious","high",22,80,317,"2.a.a","Elements must meet minimum color contrast ratio thresholds"
5,"html-has-lang","serious","high",10,31,62,"","<html> element must have a lang attribute"
6,"link-name","serious","medium",57,355,1102,"4.1.2","Link has no text content or accessible name"
7,"landmark-nav","minor","medium",19,48,48,"1.3.1","Page has no <nav> landmark"
8,"button-name","serious","medium",25,100,145,"4.1.2","Button has no text content or accessible name"
9,"landmark-one-main","moderate","medium",30,67,67,"1.3.1","Page has no <main> landmark"
10,"skip-link","moderate","medium",42,89,89,"2.4.1","No skip-to-content link found near top of page"
11,"image-alt","serious","medium",31,524,1599,"1.1.1","Image missing alt attribute"
12,"label","serious","medium",30,452,682,"1.3.1","Form input has no associated label or aria-label"
13,"aria-required-parent","critical","medium",4,76,337,"","Certain ARIA roles must be contained by particular parents"
14,"aria-required-children","critical","medium",4,76,76,"","Certain ARIA roles must contain particular children"
15,"select-name","critical","medium",6,8,15,"","Select element must have an accessible name"
16,"meta-viewport","critical","medium",1,1,1,"2.a.a","Zooming and scaling must not be disabled"
17,"scrollable-region-focusable","serious","medium",1,5,163,"","Scrollable region must have keyboard access"
18,"frame-title","serious","medium",10,30,55,"","Frames must have an accessible name"
19,"document-title","serious","medium",11,30,30,"","Documents must have <title> element to aid in navigation"
20,"link-in-text-block","serious","medium",5,6,20,"","Links must be distinguishable without relying on color"
