FilePath,RelativePath,Extension,SizeBytes,LineCount,CharCount,CreatedUtc,ModifiedUtc,ReadError,Kind,Namespaces,DeclaredTypes,Routes,RequiresAuth,AzureDevOpsUrl
"FreeGLBA.Client/Pages/Authorization/Login.razor","FreeGLBA.Client/Pages/Authorization/Login.razor",".razor",51071,1254,51068,2026-01-06T17:54:30.6638202Z,2025-12-31T19:49:15.9829444Z,"","RazorPage","","","/Login;/{TenantCode}/Login",false,""
"FreeGLBA.Client/Shared/PluginPrompts.razor","FreeGLBA.Client/Shared/PluginPrompts.razor",".razor",46579,969,46576,2026-01-06T17:54:30.8738580Z,2025-12-31T19:49:16.0207015Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/Settings/Misc/Settings.razor","FreeGLBA.Client/Pages/Settings/Misc/Settings.razor",".razor",49125,930,49125,2026-01-06T17:54:30.7107560Z,2025-12-31T19:49:15.9972906Z,"","RazorPage","","","/Settings;/{TenantCode}/Settings",false,""
"FreeGLBA.Client/Layout/MainLayout.razor","FreeGLBA.Client/Layout/MainLayout.razor",".razor",36695,895,36695,2026-01-06T17:54:27.7110985Z,2025-12-31T19:49:15.9794988Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/Settings/Users/Users.razor","FreeGLBA.Client/Pages/Settings/Users/Users.razor",".razor",25666,689,25666,2026-01-06T17:54:30.7572389Z,2025-12-31T19:49:16.0027962Z,"","RazorPage","","","/Settings/Users;/{TenantCode}/Settings/Users",false,""
"FreeGLBA.Client/Shared/AppComponents/FreeGLBA.App.EditAccessEvent.razor","FreeGLBA.Client/Shared/AppComponents/FreeGLBA.App.EditAccessEvent.razor",".razor",38035,664,37944,2026-01-06T17:54:30.9308253Z,2025-12-31T19:49:16.0107954Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/Settings/Tenants/EditTenant.razor","FreeGLBA.Client/Pages/Settings/Tenants/EditTenant.razor",".razor",26910,661,26910,2026-01-06T17:54:30.7417046Z,2025-12-31T19:49:15.9998001Z,"","RazorPage","","","/Settings/EditTenant/{tenantid};/{TenantCode}/Settings/EditTenant/{tenantid};/Settings/AddTenant;/{TenantCode}/Settings/AddTenant",false,""
"FreeGLBA.Client/Pages/Settings/Files/Files.razor","FreeGLBA.Client/Pages/Settings/Files/Files.razor",".razor",23841,660,23838,2026-01-06T17:54:30.6948939Z,2025-12-31T19:49:15.9939834Z,"","RazorPage","","","/Settings/Files;/{TenantCode}/Settings/Files",false,""
"FreeGLBA.Client/Pages/Settings/Users/EditUser.razor","FreeGLBA.Client/Pages/Settings/Users/EditUser.razor",".razor",26242,642,26242,2026-01-06T17:54:30.7572389Z,2025-12-31T19:49:16.0017963Z,"","RazorPage","","","/Settings/EditUser/{userid};/{TenantCode}/Settings/EditUser/{userid};/Settings/AddUser;/{TenantCode}/Settings/AddUser",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.AccessEventsPage.razor","FreeGLBA.Client/Pages/FreeGLBA.App.AccessEventsPage.razor",".razor",36329,632,36312,2026-01-06T17:54:30.6030832Z,2026-01-20T19:16:50.5284359Z,"","RazorPage","","","/AccessEvents;/AccessEvents/{SelectedEventId:guid};/{TenantCode}/AccessEvents;/{TenantCode}/AccessEvents/{SelectedEventId:guid}",false,""
"FreeGLBA.Client/Pages/Settings/Misc/Languages.razor","FreeGLBA.Client/Pages/Settings/Misc/Languages.razor",".razor",18189,517,18186,2026-01-06T17:54:30.7107560Z,2025-12-31T19:49:15.9962875Z,"","RazorPage","","","/Settings/Language;/{TenantCode}/Settings/Language",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.GlbaDashboard.razor","FreeGLBA.Client/Pages/FreeGLBA.App.GlbaDashboard.razor",".razor",26817,508,26802,2026-01-06T17:54:30.6188854Z,2026-01-05T23:48:08.1790141Z,"","RazorPage","","","/GlbaDashboard;/{TenantCode}/GlbaDashboard",false,""
"FreeGLBA.Client/Shared/MonacoEditor.razor","FreeGLBA.Client/Shared/MonacoEditor.razor",".razor",18819,487,18816,2026-01-06T17:54:30.8555476Z,2025-12-31T19:49:16.0187011Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.DataSubjectsPage.razor","FreeGLBA.Client/Pages/FreeGLBA.App.DataSubjectsPage.razor",".razor",26072,476,26067,2026-01-06T17:54:30.6188854Z,2026-01-20T19:10:53.3627111Z,"","RazorPage","","","/DataSubjects;/DataSubjects/{SelectedSubjectId};/{TenantCode}/DataSubjects;/{TenantCode}/DataSubjects/{SelectedSubjectId}",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.ComplianceReportsPage.razor","FreeGLBA.Client/Pages/FreeGLBA.App.ComplianceReportsPage.razor",".razor",25105,466,25086,2026-01-06T17:54:30.6030832Z,2026-01-20T19:18:44.2348050Z,"","RazorPage","","","/ComplianceReports;/{TenantCode}/ComplianceReports",false,""
"FreeGLBA.Client/Pages/Settings/Misc/AppSettings.razor","FreeGLBA.Client/Pages/Settings/Misc/AppSettings.razor",".razor",17968,440,17965,2026-01-06T17:54:30.6948939Z,2025-12-31T19:49:15.9949827Z,"","RazorPage","","","/Settings/AppSettings;/{TenantCode}/Settings/AppSettings",false,""
"FreeGLBA/Components/App.razor","FreeGLBA/Components/App.razor",".razor",18582,434,18579,2026-01-06T17:54:20.3378984Z,2025-12-31T19:49:16.1892839Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.ApiRequestLogs.razor","FreeGLBA.Client/Pages/FreeGLBA.App.ApiRequestLogs.razor",".razor",18740,420,18737,2026-01-06T17:54:30.6030832Z,2026-01-20T19:19:31.1933791Z,"","RazorPage","","","/ApiLogs;/{TenantCode}/ApiLogs",false,""
"FreeGLBA.Client/Shared/NavigationMenu.razor","FreeGLBA.Client/Shared/NavigationMenu.razor",".razor",17615,376,17615,2026-01-06T17:54:30.8555476Z,2025-12-31T19:49:16.0187011Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.BodyLoggingSettings.razor","FreeGLBA.Client/Pages/FreeGLBA.App.BodyLoggingSettings.razor",".razor",18000,356,17997,2026-01-06T17:54:30.6030832Z,2026-01-05T22:04:00.4998015Z,"","RazorPage","","","/ApiLogs/Settings;/{TenantCode}/ApiLogs/Settings",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.SourceSystemsPage.razor","FreeGLBA.Client/Pages/FreeGLBA.App.SourceSystemsPage.razor",".razor",19231,355,19226,2026-01-06T17:54:30.6188854Z,2025-12-31T19:49:15.9879512Z,"","RazorPage","","","/SourceSystems;/{TenantCode}/SourceSystems",false,""
"FreeGLBA.Client/Shared/AppComponents/FreeGLBA.App.EditComplianceReport.razor","FreeGLBA.Client/Shared/AppComponents/FreeGLBA.App.EditComplianceReport.razor",".razor",19678,350,18415,2026-01-06T17:54:30.9308253Z,2025-12-31T19:49:16.0117952Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/Profile.razor","FreeGLBA.Client/Pages/Profile.razor",".razor",13027,342,13027,2026-01-06T17:54:30.6437385Z,2025-12-31T19:49:15.9899483Z,"","RazorPage","","","/Profile;/{TenantCode}/Profile",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.ApiLogDashboard.razor","FreeGLBA.Client/Pages/FreeGLBA.App.ApiLogDashboard.razor",".razor",16732,341,16729,2026-01-06T17:54:30.6030832Z,2026-01-05T21:40:28.2616945Z,"","RazorPage","","","/ApiLogs/Dashboard;/{TenantCode}/ApiLogs/Dashboard",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.AccessorsPage.razor","FreeGLBA.Client/Pages/FreeGLBA.App.AccessorsPage.razor",".razor",17519,336,17514,2026-01-06T17:54:30.6030832Z,2026-01-20T19:17:30.9562065Z,"","RazorPage","","","/Accessors;/{TenantCode}/Accessors",false,""
"FreeGLBA.Client/Pages/Settings/Misc/Setup.razor","FreeGLBA.Client/Pages/Settings/Misc/Setup.razor",".razor",14930,332,14927,2026-01-06T17:54:30.7259949Z,2025-12-31T19:49:15.9972906Z,"","RazorPage","","","/Setup",false,""
"FreeGLBA.Client/Shared/OffcanvasPopoutMenu.razor","FreeGLBA.Client/Shared/OffcanvasPopoutMenu.razor",".razor",14273,331,14273,2026-01-06T17:54:30.8677549Z,2025-12-31T19:49:16.0197016Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/Settings/Users/EditUserGroup.razor","FreeGLBA.Client/Pages/Settings/Users/EditUserGroup.razor",".razor",11520,324,11517,2026-01-06T17:54:30.7572389Z,2025-12-31T19:49:16.0017963Z,"","RazorPage","","","/Settings/EditUserGroup/{groupid};/{TenantCode}/Settings/EditUserGroup/{groupid};/Settings/AddUserGroup;/{TenantCode}/Settings/AddUserGroup",false,""
"FreeGLBA.Client/Pages/Settings/Tags/EditTag.razor","FreeGLBA.Client/Pages/Settings/Tags/EditTag.razor",".razor",10747,315,10747,2026-01-06T17:54:30.7259949Z,2025-12-31T19:49:15.9987927Z,"","RazorPage","","","/Settings/EditTag/{id};/{TenantCode}/Settings/EditTag/{id};/Settings/AddTag;/{TenantCode}/Settings/AddTag",false,""
"FreeGLBA.Client/Pages/FreeGLBA.App.ViewApiRequestLog.razor","FreeGLBA.Client/Pages/FreeGLBA.App.ViewApiRequestLog.razor",".razor",14495,301,14492,2026-01-06T17:54:30.6188854Z,2026-01-05T21:52:58.7491954Z,"","RazorPage","","","/ApiLogs/{Id:guid};/{TenantCode}/ApiLogs/{Id:guid}",false,""
"FreeGLBA.Client/Shared/TagSelector.razor","FreeGLBA.Client/Shared/TagSelector.razor",".razor",8432,272,8432,2026-01-06T17:54:30.8833663Z,2025-12-31T19:49:16.0227849Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/Settings/Departments/EditDepartment.razor","FreeGLBA.Client/Pages/Settings/Departments/EditDepartment.razor",".razor",9797,267,9794,2026-01-06T17:54:30.6816672Z,2025-12-31T19:49:15.9929794Z,"","RazorPage","","","/Settings/EditDepartment/{departmentid};/{TenantCode}/Settings/EditDepartment/{departmentid};/Settings/AddDepartment;/{TenantCode}/Settings/AddDepartment",false,""
"FreeGLBA.Client/Shared/AppComponents/FreeGLBA.App.EditSourceSystem.razor","FreeGLBA.Client/Shared/AppComponents/FreeGLBA.App.EditSourceSystem.razor",".razor",12508,262,12505,2026-01-06T17:54:30.9446969Z,2026-01-02T19:18:26.3298058Z,"","RazorComponent","","","",false,""
"FreeGLBA.Client/Pages/PluginTesting.razor","FreeGLBA.Client/Pages/PluginTesting.razor",".razor",8482,250,8479,2026-01-06T17:54:30.6407389Z,2025-12-31T19:49:15.9899483Z,"","RazorPage","","","/Plugins;/{TenantCode}/Plugins",false,""
